id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
3536,Tinubu Square,"Enterprise Tech Provisioning, InsurTech","API Management, Enterprise Blockchain, Claims & Risk Management Solutions, Application development, Business consulting",2000.0,2000,Private,France,France,156,,,,Active
3537,Tipalti ,"Digital Payments, Enterprise Tech Provisioning, RegTech","Bulk Payment Solutions, API Hubs for Payments, Financial Management & Business Intelligence, Digital Accounting, Electronic Invoicing, Cloud Computing, Profiling & Due Diligence, Risk Analytics, Dynamic Compliance, Regulatory Reporting, Taxation",2010.0,2012,Private,Israel,United States,201-500,,,,Active
3538,Titan,WealthTech,"Digital Wealth Management, Education and Training",2017.0,2018,Private,United States,United States,Nov-50,,,,Active
3539,tix.africa,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2018.0,2019,Private,Nigeria,Nigeria,10-Jan,,,,Active
3540,TMeffect Pty Ltd,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2014,Private,Australia,Australia,6,,,,Active
3541,Toast,"Digital Payments, Enterprise Tech Provisioning","Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, API Hubs for Payments, Cloud Computing",,2013,Private,United States,United States,1001-5000,,,,Active
3542,Toborrow,Digital Lending,P2P / Marketplace Business Lending,2013.0,2013,Private,Sweden,Sweden,30,,,,Active
3543,TOC Biometrics ,Digital Identity,"Security & Biometrics, Fraud Prevention & Risk Management",,2011,Private,Chile,Chile,51-200,,,,Active
3544,Toffee Insurance,InsurTech,Digital Brokers or Agents,2017.0,2017,Private,India,India,51-200,,,,Active
3545,ToGarantido,InsurTech,Digital Brokers or Agents,2014.0,2014,Private,Brazil,Brazil,Nov-50,,,,Active
3546,Together,Digital Lending,P2P / Marketplace Property Lending,2018.0,2018,Private,"Korea, Rep.",Canada,6,,,,Active
3547,Token.io,"Enterprise Tech Provisioning, Digital Payments, RegTech","Digital Accounting, API Management, API Hubs for Payments, Dynamic Compliance, Risk Analytics",2016.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
3548,Tokenomy,"Cryptoasset Exchange, Digital Capital Raising","Order-Book, Advanced Trading Services, Token Hosting Platform",2017.0,2018,Private,British Virgin Islands,Indonesia,,,,,Active
3549,TokenPocket,"Digital Custody, Consensus Services","Unhosted Cryptoasset Wallet, Staking-as-a-Service",2018.0,2018,Non profit,Singapore,Singapore,Nov-50,,,,Active
3550,Tomorrow,"Digital Banks, Digital Capital Raising","Fully Digitally Native Bank (Retail), Equity-Based Crowdfunding",,2018,Private,Germany,Germany,51-200,,,,Active
3551,TONIK,Digital Banks,Fully Digitally Native Bank (Retail),2018.0,2018,Private,Singapore,Singapore,75,,,,Active
3552,Tookitaki,Enterprise Tech Provisioning,AI / ML / NLP,2014.0,2013,Private,Singapore,Singapore,51-200,,,,Active
3553,Topremit,Digital Payments,Digital Remittances (Cross Border-P2P),2009.0,2009,Private,Indonesia,Indonesia,51-200,,,,Active
3554,TORANOTEC ,"WealthTech, Digital Savings","Digital Wealth Management, Personal Financial Management / Planning, Financial Comparison Sites, Savings-as-a-Service (SaaS), Digital Micro Saving Solutions",2016.0,2017,Private,Japan,Japan,Nov-50,,,,Active
3555,Toro Investimentos,"WealthTech, Digital Capital Raising","Digital Wealth Management, Robo Retirement / Pension Planning, Capital Raising Retail Brokerage",2017.0,2010,Private,Brazil,Brazil,51-200,,,,Active
3556,toss,"Digital Payments, WealthTech, InsurTech, Digital Lending, Digital Banks","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P), Personal Financial Management / Planning, Financial Comparison Sites, Digital Brokers or Agents, Comparison Portal, Customer Management, P2P / Marketplace Consumer Lending, Fully Digitally Native Bank (Retail)",2011.0,2015,Private,"Korea, Rep.","Korea, Rep.",1001-5000,,,,Active
3557,Total Expert,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Regulatory Reporting, Dynamic Compliance",2016.0,2016,Private,United States,United States,201-500,,,,Active
3558,TouchBistro,"Digital Payments, Enterprise Tech Provisioning","Points of Access (PoS / mPoS / Online PoS), Financial Management & Business Intelligence",2011.0,2011,Private,Canada,Canada,501-1000,,,,Active
3559,Touna,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2013.0,2012,Private,China,China,30,,,,Active
3560,Touzhijia.com,"Digital Lending, WealthTech","P2P / Marketplace Business Lending, Digital Wealth Management",2014.0,2014,Private,China,China,,,,,Active
3561,Tpaga,Digital Payments,"Payment Gateways, API Hubs for Payments, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Acquiring Services Providers for Merchants",2015.0,2016,Private,Colombia,Colombia,Nov-50,,,,Active
3562,TQD,"InsurTech, WealthTech","Comparison Portal, Digital Brokers or Agents, Claims & Risk Management Solutions, Customer Management, Usage-Based Insurance, Personal Financial Management / Planning",2016.0,2016,Private,Thailand,Thailand,Nov-50,,,,Active
3563,Tractable,"Enterprise Tech Provisioning, InsurTech","AI / ML / NLP, Cloud Computing, API Management, Claims & Risk Management Solutions",2014.0,2015,Private,United Kingdom,United Kingdom,201-500,,,,Active
3564,Trade Ledger,Enterprise Tech Provisioning,"AI / ML / NLP, API Management, Data aggregation, Application development",2016.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
3565,Trade Republic,"Cryptoasset Exchange, WealthTech, Digital Custody, Digital Savings","Retail Brokerage Services, Personal Financial Management / Planning, Hosted Cryptoasset Wallet, Digital Micro Saving Solutions",2019.0,2019,Private,Germany,Germany,70,,,,Active
3566,Trade Smart,WealthTech,Digital Wealth Management,2015.0,2013,Private,India,India,201-500,,,,Active
3567,TradeBlock,"Enterprise Tech Provisioning, Cryptoasset Exchange, RegTech","Financial Management & Business Intelligence, API Management, Institutional Brokerage Services, Dynamic Compliance, Industry research, Market data",2013.0,2013,Private,United States,United States,10-Jan,,,,Active
3568,TradeHill,Cryptoasset Exchange,Order-Book,2012.0,2011,Private,United States,United States,,2013.0,,,Inactive
3569,Tradelab,"Cryptoasset Exchange, Digital Custody","Order-Book, Hosted Cryptoasset Wallet, Financial Solution Provider and Consulting Service",2012.0,2012,Private,India,India,Nov-50,,,,Active
3570,Tradeplus24,Digital Lending,Invoice Trading,,2016,Private,Switzerland,Switzerland,Nov-50,,,,Active
3571,Tradeshift,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, API Management, Cloud Computing, Financial Management & Business Intelligence, Money Transfer (Cryptoasset), Money Transfer (P2P / P2B / B2P / B2B)",2009.0,2010,Private,United States,United States,501-1000,,,,Active
3572,Tradewave,Cryptoasset Exchange,Aggregation,2015.0,2014,Private,United States,United Kingdom,,2015.0,,,Inactive
3573,Trading Technologies,Cryptoasset Exchange,"Aggregation, Advanced Trading Services",1996.0,2018,Private,United States,United States,350,,,,Active
3574,TrailingCrypto,Cryptoasset Exchange,"Order-Book, Advanced Trading Services",2018.0,2018,Private,Unidentified,India,10-Jan,,,,Active
3575,Tranglo ,"Digital Payments, Enterprise Tech Provisioning","Digital Remittances (Cross Border-P2P), Top-ups & Refills, Bulk Payment Solutions, API Management",2008.0,2008,Private,Malaysia,Malaysia,51-200,,,,Active
3576,TransCard,"Cryptoasset Exchange, Digital Payments","Advanced Trading Services, Bulk Payment Solutions, API Hubs for Payments, Digital Remittances (Cross Border-P2P), Acquiring Services Providers for Merchants",2014.0,2012,Private,United States,United States,97,,,,Active
3577,TransferHelper,"Digital Payments, Enterprise Tech Provisioning","Digital Remittances (Cross Border-P2P), AI / ML / NLP",2018.0,2019,Private,"Taiwan, China","Taiwan, China",10-Jan,,,,Active
3578,TransferTo,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Top-ups & Refills",2005.0,2008,Private,Singapore,Singapore,51-200,,,,Active
3579,TransFICC,Enterprise Tech Provisioning,"Cloud Computing, API Management",2015.0,2016,Private,United Kingdom,United Kingdom,27,,,,Active
3580,Transwap,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2014.0,2015,Private,Singapore,Singapore,Nov-50,,,,Active
3581,Tranzax,"Alternative Credit Analytics, Enterprise Tech Provisioning","Credit Scoring, Electronic Invoicing",2009.0,2017,Private,Japan,Japan,Nov-50,,,,Active
3582,TravelBank ,"Enterprise Tech Provisioning, Digital Savings","Digital Accounting, Financial Management & Business Intelligence, Savings-as-a-Service (SaaS)",2015.0,2016,Private,United States,United States,Nov-50,,,,Active
3583,Travelex,Digital Payments,"Digital Remittances (Cross Border-P2P), Money Transfer (P2P / P2B / B2P / B2B)",2003.0,2021,Private,Japan,Japan,,,,,Active
3584,Traxpay ,"Digital Payments, Enterprise Tech Provisioning, Digital Lending","Money Transfer (P2P / P2B / B2P / B2B), Financial Management & Business Intelligence, P2P / Marketplace Business Lending",2010.0,2012,Private,United States,Germany,Nov-50,,,,Active
3585,TRDR ,WealthTech,"Robo-Advisors, Digital Wealth Management",2021.0,2021,Private,India,India,10-Jan,,,,Active
3586,Treasury Prime,"Enterprise Tech Provisioning, Digital Banks","API Management, Banking-as-a-Service (BaaS)",2017.0,2017,Private,United States,United States,51-200,,,,Active
3587,Tred,WealthTech,"Personal Financial Management / Planning, Education and Training",2019.0,2020,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
3588,Treecard,Digital Banks,Agent Banking (Cash-In / Cash-Out),2020.0,2021,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
3589,TREELION,"Digital Capital Raising, Digital Identity, Digital Custody, RegTech, Enterprise Tech Provisioning","Reward-Based Crowdfunding, Fraud Prevention & Risk Management, Third-Party Custody, Dynamic Compliance, Enterprise Blockchain, Education and Training",2018.0,2019,Private,Singapore,Singapore,Nov-50,,,,Active
3590,Tresata,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, AI / ML / NLP",2011.0,2011,Private,United States,United States,Nov-50,,,,Active
3591,Tresl,"WealthTech, Alternative Credit Analytics","Personal Financial Management / Planning, Financial Comparison Sites, Credit Scoring",2017.0,2007,Private,United States,United States,51-200,,,,Active
3592,Trezeo,"Digital Lending, WealthTech, Digital Savings","Customer Cash-Advance, Personal Financial Management / Planning, Digital Micro Saving Solutions",2016.0,2017,Private,Ireland,Ireland,Nov-50,,,,Active
3593,Tribefunds,Digital Capital Raising,Reward-Based Crowdfunding,2014.0,2014,,Sri Lanka,Sri Lanka,10-Jan,,,,Active
3594,Triboom,Digital Capital Raising,Reward-Based Crowdfunding,2011.0,2012,Private,Italy,Italy,6,,,,Active
3595,Trillion Fund,Digital Lending,P2P / Marketplace Business Lending,2010.0,2012,Private,United Kingdom,United Kingdom,6,,,,Active
3596,Trilo,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), API Hubs for Payments",2018.0,2020,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
3597,TRINE,Digital Lending,P2P / Marketplace Business Lending,2015.0,2011,Private,Sweden,Sweden,Nov-50,,,,Active
3598,TrinityEco,"Digital Capital Raising, RegTech","Donation-Based Crowdfunding, Regulatory Reporting",2019.0,2021,Private,Singapore,Singapore,10-Jan,,,,Active
3599,Troc Circle,Enterprise Tech Provisioning,"API Management, Application development",,2020,Private,Unidentified,United States,5,,,,Active
3600,Trove Finance,WealthTech,Personal Financial Management / Planning,2018.0,2019,Private,Nigeria,Nigeria,Nov-50,,,,Active
3601,Trriple,"Digital Payments, Enterprise Tech Provisioning","Acquiring Services Providers for Merchants, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Financial Management & Business Intelligence",2014.0,2014,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
3602,Trucard,Digital Banks,"Marketplace Bank (Retail), Fully Digitally Native Bank (Retail)",2016.0,2016,Private,India,India,Nov-50,,,,Active
3603,True Balance,"WealthTech, Digital Payments, Digital Lending, InsurTech","Personal Financial Management / Planning, Top-ups & Refills, Balance Sheet Consumer Lending, Customer Cash-Advance, Comparison Portal",2014.0,2014,Private,India,India,51-200,,,,Active
3604,True Pillars,Digital Lending,P2P / Marketplace Business Lending,2015.0,2016,Private,Australia,Australia,30,,,,Active
3605,TrueAccord,Enterprise Tech Provisioning,AI / ML / NLP,2013.0,2013,Private,United States,United States,51-200,,,,Active
3606,Truebill ,"WealthTech, Digital Savings, Digital Lending","Personal Financial Management / Planning, Digital Micro Saving Solutions, Balance Sheet Consumer Lending, Education and Training",2015.0,2016,Private,United States,United States,51-200,,,,Active
3607,TrueLayer,"Digital Identity, Enterprise Tech Provisioning, RegTech, Digital Payments","KYC Solutions, API Management, Profiling & Due Diligence, API Hubs for Payments, KYC & AML",2016.0,2017,Private,United Kingdom,United Kingdom,51-200,,,,Active
3608,TrueMoney,"Digital Payments, InsurTech, Digital Savings, Digital Lending, WealthTech","Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Payment Gateways, Digital Brokers or Agents, Digital Micro Saving Solutions, Balance Sheet Consumer Lending, Personal Financial Management / Planning",2003.0,2006,Private,Thailand,Thailand,51-200,,,,Active
3609,TrueUSD,Digital Payments,Asset-Backed Stablecoin,2017.0,2018,Private,British Virgin Islands,United States,,,,,Active
3610,Truework,"Digital Identity, Enterprise Tech Provisioning, RegTech","Fraud Prevention & Risk Management, API Management, Dynamic Compliance",2017.0,2017,Private,United States,United States,51-200,,,,Active
3611,Trulioo,"Digital Identity, RegTech","KYC Solutions, Fraud Prevention & Risk Management, Security & Biometrics, Profiling & Due Diligence, Dynamic Compliance, KYC & AML",2011.0,2011,Private,Canada,Canada,201-500,,,,Active
3612,Trumid,Digital Lending,Debt-Based Securities,2014.0,2014,Private,United States,United States,51-200,,,,Active
3613,Trussle,"Digital Lending, InsurTech","P2P / Marketplace Property Lending, Comparison Portal, Digital Brokers or Agents",2015.0,2016,Private,United Kingdom,United Kingdom,51-200,,,,Active
3614,Trustbuddy,Digital Lending,P2P / Marketplace Consumer Lending,2009.0,2015,Private,Sweden,Sweden,76,,,,Active
3615,Trustdock,Digital Identity,"KYC Solutions, Security & Biometrics",2017.0,2017,Private,Japan,Japan,26,,,,Active
3616,Trustender,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2007.0,2020,Private,Thailand,Thailand,10-Jan,,,,Active
3617,Trusting Social,"Alternative Credit Analytics, Digital Identity, Enterprise Tech Provisioning","Credit Scoring, Fraud Prevention & Risk Management, API Management",2013.0,2013,Private,Singapore,Singapore,51-200,,,,Active
3618,Trustly,Digital Payments,Payment Gateways,2008.0,2008,Private,Sweden,Sweden,501-1000,,,,Active
3619,TrustToken,Digital Payments,Asset-Backed Stablecoin,2017.0,2018,Private,United States,United States,51-200,,,,Active
3620,TrustWallet,"Digital Custody, Consensus Services, Cryptoasset Exchange","Unhosted Cryptoasset Wallet, Staking-as-a-Service, Order-Book",2018.0,2017,Private,United States,United States,,2018.0,,,Inactive
3621,Tu cambista,Digital Payments,Digital Remittances (Domestic-P2P),2018.0,2018,,Peru,Peru,10-Jan,,,,Active
3622,Tuandaiwang,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012.0,2012,Private,China,China,30,,,,Active
3623,Tugende,"Digital Lending, Alternative Credit Analytics","Balance Sheet Business Lending, Balance Sheet Consumer Lending, Credit Scoring, Education and Training",2010.0,2013,Private,Uganda,Uganda,501-1000,,,,Active
3624,Tukuy Club,Digital Payments,Payment Gateways,2019.0,2019,Private,Peru,Peru,10-Jan,,,,Active
3625,Tulaa,Digital Lending,Merchant Cash-Advance,2016.0,2017,Private,Kenya,Kenya,Nov-50,2020.0,,,Inactive
3626,Tumblbug,Digital Capital Raising,Reward-Based Crowdfunding,2011.0,2011,Private,"Korea, Rep.","Korea, Rep.",6,,,,Active
3627,Tunaiku,Digital Lending,Balance Sheet Consumer Lending,2014.0,2014,Private,Indonesia,Indonesia,501-1000,,,,Active
3628,Tupay ,"Digital Payments, WealthTech","Top-ups & Refills, Acquiring Services Providers for Merchants, Mobile Money, Bulk Payment Solutions, Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Financial Comparison Sites",2017.0,2018,Private,Kenya,Kenya,10-Jan,,,,Active
3629,Turaco,InsurTech,Parametric-Based Insurance,2019.0,2020,Private,Kenya,Kenya,Nov-50,,,,Active
3630,Turnkey Lender,"Digital Banks, Digital Lending, Digital Savings","Fully Digitally Native Bank (Retail), Banking-as-a-Service (BaaS), Agent Banking (Cash-In / Cash-Out), P2P / Marketplace Consumer Lending, Digital Micro Saving Solutions, Balance Sheet Consumer Lending, Fully Digitally Native Bank (MSME), Merchant Cash-Advance",2014.0,2014,Private,United States,United States,51-200,,,,Active
3631,Turtlemint,InsurTech,"Digital Brokers or Agents, Comparison Portal",2019.0,2015,Private,India,India,201-500,,,,Active
3632,Tutengdai,Digital Lending,P2P / Marketplace Consumer Lending,2014.0,2015,Private,China,China,,2020.0,,,Inactive
3633,tuvakita.com,Digital Capital Raising,Donation-Based Crowdfunding,2013.0,2014,Private,Chile,Chile,30,,,,Active
3634,Twid,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Payment Gateways",2021.0,2019,Private,India,India,Nov-50,,,,Active
3635,Twig,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2020.0,2020,,United Kingdom,United Kingdom,Nov-50,,,,Active
3636,TWINO,Digital Lending,P2P / Marketplace Consumer Lending,2009.0,2014,Private,Latvia,Latvia,176,,,,Active
3637,Two Hundred,Digital Capital Raising,Equity-Based Crowdfunding,2014.0,2015,Private,Italy,Italy,30,,,,Active
3638,Tyke,Digital Capital Raising,Revenue / Profit Share Crowdfunding,2021.0,2021,Private,India,India,Nov-50,,,,Active
3639,UALET,WealthTech,"Robo-Advisors, Digital Wealth Management",2017.0,2017,Private,Colombia,Colombia,Nov-50,,,,Active
3640,UalÃ¡,"WealthTech, Digital Lending, Digital Payments","Personal Financial Management / Planning, Balance Sheet Consumer Lending, Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B)",,2017,Private,Argentina,Argentina,1001-5000,,,,Active
3641,Uangku,Digital Payments,"Mobile Money, Top-ups & Refills",2014.0,2015,Private,Indonesia,Indonesia,,,,,Active
3642,UangTeman,Digital Lending,"P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending",2014.0,2014,Private,Indonesia,Indonesia,176,,,,Active
3643,UbaPesa,Digital Lending,P2P / Marketplace Consumer Lending,2017.0,2018,Private,Kenya,Kenya,10-Jan,,,,Active
3644,uConecte,Digital Lending,P2P / Marketplace Consumer Lending,2017.0,2017,Private,Brazil,Brazil,30,,,,Active
3645,Udhaar,Digital Lending,"P2P / Marketplace Consumer Lending, Investment advisory",2017.0,2019,Private,India,India,10-Jan,,,,Active
3646,UDMA Tech,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money",2016.0,2018,Private,India,India,10-Jan,,,,Active
3647,uf-club.com,Digital Lending,P2P / Marketplace Consumer Lending,2013.0,2013,Private,China,China,3000,,,,Active
3648,UGR - Next Gen Compliance Experts and Solutions,"RegTech, Digital Lending","Regulatory Reporting, Balance Sheet Business Lending, Dynamic Compliance, Profiling & Due Diligence, Blockchain Forensics",2015.0,2015,Private,United States,United States,Nov-50,,,,Active
3649,UiPath,Enterprise Tech Provisioning,"API Management, AI / ML / NLP, Cloud Computing",2015.0,2013,Public,Romania,United States,1001-5000,,,,Active
3650,UK Bond Network,Digital Lending,Debt-Based Securities,2012.0,2013,Private,United Kingdom,United Kingdom,6,,,,Active
3651,Ulule,Digital Capital Raising,Reward-Based Crowdfunding,2010.0,2011,Private,France,France,30,,,,Active
3652,Umati Capital,Digital Lending,Balance Sheet Business Lending,,2013,Private,Kenya,Kenya,Nov-50,2020.0,,,Inactive
3653,Umba,Digital Banks,Fully Digitally Native Bank (Retail),2017.0,2018,Private,Ireland,United States,Nov-50,,,,Active
3654,Ummeed,"Digital Lending, InsurTech","Balance Sheet Consumer Lending, Balance Sheet Property Lending, Balance Sheet Business Lending, Digital Brokers or Agents",2016.0,2016,Private,India,India,501-1000,,,,Active
3655,Unbound Tech,"Enterprise Tech Provisioning, Digital Custody, RegTech","Enterprise Blockchain, Key Management Services, Risk Analytics, Regulatory Reporting, Dynamic Compliance",2013.0,2011,Private,Israel,United States,51-200,,,,Active
3656,Uni Cards,Digital Lending,Customer Cash-Advance,2020.0,2021,Private,India,India,51-200,,,,Active
3657,UniCreds,Digital Lending,P2P / Marketplace Consumer Lending,2019.0,2020,Private,India,India,201-500,,,,Active
3658,Unilend,Digital Lending,P2P / Marketplace Business Lending,2013.0,2009,Private,France,France,30,,,,Active
3659,Unimoni,Digital Payments,Digital Remittances (Cross Border-P2P),2018.0,2021,Public,Japan,Japan,,,,,Active
3660,Unimoni Enterprise Solutions,Digital Payments,"Digital Remittances (Cross Border-P2P), Payment Gateways",,2001,Private,United Arab Emirates,India,1001-5000,,,,Active
3661,Unisend,Cryptoasset Exchange,Order-Book,2014.0,2014,Private,Argentina,Argentina,,2015.0,,,Inactive
3662,Unison,Digital Lending,Balance Sheet Property Lending,2004.0,2004,Private,United States,United States,51-200,,,,Active
3663,Unistream Money Transfer,Digital Payments,Digital Remittances (Cross Border-P2P),2006.0,2006,Private,Russian Federation,Russian Federation,501-1000,,,,Active
3664,Uniswap,Cryptoasset Exchange,Decentralised Exchange (DEX) Relayer,2018.0,2018,Private,United States,United States,27,,,,Active
3665,Unit,"Enterprise Tech Provisioning, Digital Banks","API Management, Banking-as-a-Service (BaaS)",2019.0,2020,Private,United States,United States,Nov-50,,,,Active
3666,Unlisted Valuations,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2018.0,2018,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
3667,Unlistedkart,WealthTech,"Digital Wealth Management, Financial Solution Provider and Consulting Service",2018.0,2017,Private,India,India,Nov-50,,,,Active
3668,Unnati,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2010.0,2017,Private,India,India,51-200,,,,Active
3669,UNObank ,Digital Banks,Fully Digitally Native Bank (Retail),,2021,Private,Singapore,Singapore,10-Jan,,,,Active
3670,Unocoin,"Cryptoasset Exchange, Digital Custody, Digital Payments","Retail Brokerage Services, Hosted Cryptoasset Wallet, Payment processor, Money Transfer (Cryptoasset), Single Dealer Platform / OTC Trading, Order-Book",2013.0,2013,Private,Singapore,India,,,,,Active
3671,Unqork,Enterprise Tech Provisioning,API Management,2016.0,2017,Private,United States,United States,201-500,,,,Active
3672,Unsecured Finance,Digital Lending,Balance Sheet Business Lending,2015.0,2017,Private,Australia,Australia,10-Jan,,,,Active
3673,Upande,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2009.0,2019,Private,Kenya,Kenya,Nov-50,,,,Active
3674,Upbit,"Digital Custody, Cryptoasset Exchange","Hosted Cryptoasset Wallet, Aggregation, Retail Brokerage Services, Institutional Brokerage Services, Order-Book",2012.0,2017,Private,"Korea, Rep.","Korea, Rep.",201-500,,,,Active
3675,upcover,InsurTech,"Usage-Based Insurance, On-Demand Insurance",2018.0,2019,Private,Australia,Australia,Nov-50,,,,Active
3676,UpEffect,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2016.0,2016,Private,Australia,United Kingdom,6,,,,Active
3677,Upflow ,Enterprise Tech Provisioning,Digital Accounting,2018.0,2017,Private,United States,France,Nov-50,,,,Active
3678,Upgrade,"Digital Lending, Digital Payments, Digital Banks, WealthTech","Balance Sheet Consumer Lending, Customer Cash-Advance, Money Transfer (P2P / P2B / B2P / B2B), Agent Banking (Cash-In / Cash-Out), Personal Financial Management / Planning, Education and Training",2016.0,2017,Private,United States,United States,201-500,,,,Active
3679,Uphold,"Digital Payments, Cryptoasset Exchange","Money Transfer (Cryptoasset), Payment processor, Retail Brokerage Services, Consumer Spending",2014.0,2014,Private,United States,United States,136,,,,Active
3680,Uprise.Africa,Digital Capital Raising,Equity-Based Crowdfunding,2017.0,2017,Private,South Africa,South Africa,6,,,,Active
3681,Uproov,Enterprise Tech Provisioning,"Enterprise Blockchain, Timestamping",2015.0,2015,Private,Australia,United States,,,,,Active
3682,Upserve,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Payment Gateways",2009.0,2009,Private,United States,United States,51-200,,,,Active
3683,Upstart,Digital Lending,P2P / Marketplace Consumer Lending,2012.0,2014,Private,United States,United States,176,,,,Active
3684,Upstox ,WealthTech,Personal Financial Management / Planning,2009.0,2012,Private,India,India,201-500,,,,Active
3685,Upvest ,Enterprise Tech Provisioning,API Management,2017.0,2018,Private,Germany,Germany,Nov-50,,,,Active
3686,Upwardly,WealthTech,"Personal Financial Management / Planning, Robo-Advisors, Robo Retirement / Pension Planning",2016.0,2016,Private,India,India,Nov-50,2021.0,,,Inactive
3687,Upwards,Digital Lending,Balance Sheet Consumer Lending,2017.0,2017,Private,India,India,51-200,,,,Active
3688,Urban Jungle Insurance,Digital Capital Raising,Equity-Based Crowdfunding,2016.0,2016,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
3689,URBE.ME,Digital Capital Raising,Real Estate Crowdfunding,2014.0,2015,Private,Brazil,Brazil,6,,,,Active
3690,Utunzi ,Digital Lending,Balance Sheet Consumer Lending,,2016,Private,Kenya,Kenya,,,,,Active
3691,Uzapoint,"Enterprise Tech Provisioning, Digital Payments","Financial Management & Business Intelligence, Points of Access (PoS / mPoS / Online PoS)",2020.0,2017,Private,Kenya,Kenya,10-Jan,,,,Active
3692,V2X Network,"Enterprise Tech Provisioning, Digital Payments","API Management, Enterprise Blockchain, AI / ML / NLP, Money Transfer (P2P / P2B / B2P / B2B)",2018.0,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
3693,Vaki,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",1986.0,1986,Private,Colombia,Iceland,30,,,,Active
3694,Vakinha,Digital Capital Raising,Donation-Based Crowdfunding,2009.0,2009,Private,Brazil,Brazil,6,,,,Active
3695,Validus,Digital Lending,"P2P / Marketplace Business Lending, Balance Sheet Business Lending, Merchant Cash-Advance",2015.0,2015,Private,Singapore,Singapore,51-200,,,,Active
3696,Valify,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, AI / ML / NLP",2014.0,2014,Private,United States,United States,Nov-50,,,,Active
3697,Valon Mortgage,Digital Lending,Balance Sheet Property Lending,2019.0,2021,Private,United States,United States,51-200,,,,Active
3698,Valoro,Enterprise Tech Provisioning,"Enterprise Blockchain, AI / ML / NLP, API Interface, Application development",2019.0,2019,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",Nov-50,,,,Active
3699,Valr,Cryptoasset Exchange,Order-Book,2018.0,2018,Private,South Africa,South Africa,,,,,Active
3700,ValU,Digital Lending,Customer Cash-Advance,2017.0,2019,Private,"Egypt, Arab Rep.","Egypt, Arab Rep.",Nov-50,,,,Active
3701,Value3 Advisory,"Alternative Credit Analytics, WealthTech","Credit Scoring, Robo-Advisors",2018.0,2018,Private,Singapore,India,Nov-50,,,,Active
3702,Valuefy ,WealthTech,Digital Wealth Management,,2011,Private,India,India,51-200,,,,Active
3703,Valyou,Digital Payments,"Digital Remittances (Cross Border-P2P), Top-ups & Refills",2016.0,2016,Private,Malaysia,Malaysia,201-500,,,,Active
3704,Valyu,Digital Savings,Savings-as-a-Service (SaaS),2020.0,2020,Private,India,India,Nov-50,,,,Active
