Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Sedicii,"Digital Identity, RegTech","Fraud Prevention & Risk Management, KYC Solutions, Risk Analytics, Security & Biometrics, Profiling & Due Diligence",2013,2013,Private,Ireland,Ireland,16,,,,Active
Seed&Spark,Digital Capital Raising,Reward-Based Crowdfunding,2013,2012,Private,United States,United States,30,,,,Active
SeedInvest,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,United States,United States,6,,,,Active
Seedly,WealthTech,"Personal Financial Management / Planning, Financial Comparison Sites",2016,2016,Private,Singapore,Singapore,Nov-50,,,,Active
Seedmatch â€“ a brand of OneCrowd Group,Digital Capital Raising,Equity-Based Crowdfunding,2011,2014,Private,Germany,Germany,30,,,,Active
Seedout,Digital Capital Raising,Donation-Based Crowdfunding,,2013,Non profit,Pakistan,Pakistan,Nov-50,,,,Active
Seedrs,Digital Capital Raising,Equity-Based Crowdfunding,2009,2012,Private,United Kingdom,United Kingdom,76,,,,Active
Seeds Investor,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Education and Training",2019,2018,Private,United States,United States,10-Jan,,,,Active
SeedUps Canada,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012,2014,Private,Canada,Canada,6,,,,Active
SeguroSimple.com,InsurTech,"Comparison Portal, Digital Brokers or Agents",,2013,Private,Peru,Peru,51-200,,,,Active
Sela Labs,Enterprise Tech Provisioning,"Enterprise Blockchain, Community management",2017,2018,Private,Nigeria,Nigeria,,,,,Active
Self ,"Alternative Credit Analytics, Digital Banks, WealthTech, Digital Savings","Credit Scoring, Agent Banking (Cash-In / Cash-Out), Personal Financial Management / Planning, Digital Micro Saving Solutions",2015,2016,Private,United States,United States,51-200,,,,Active
Sempli,Digital Lending,Balance Sheet Business Lending,2016,2016,Private,Colombia,Colombia,30,,,,Active
Senang Insurance,"InsurTech, Enterprise Tech Provisioning","Claims & Risk Management Solutions, Digital Brokers or Agents, Customer Management, On-Demand Insurance, API Management",2018,2018,Private,Malaysia,Malaysia,10-Jan,,,,Active
Senim App,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2016,2017,Private,Kazakhstan,Kazakhstan,51-200,,,,Active
Sentro,InsurTech,"Claims & Risk Management Solutions, Customer Management",2020,2018,Private,New Zealand,New Zealand,10-Jan,,,,Active
Sepulsa,"Digital Payments, Digital Custody","Top-ups & Refills, eMoney Wallet",2015,2015,Private,Unidentified,Indonesia,51-200,,,,Active
SeQura,"Digital Payments, Digital Lending","Payment Gateways, Customer Cash-Advance",2013,2013,Private,Spain,Spain,51-200,,,,Active
Seraphin,InsurTech,"Digital Brokers or Agents, Comparison Portal, Customer Management, Technical Service Provider (TSP)",2015,2015,Private,Belgium,Belgium,Nov-50,,,,Active
Serica,Cryptoasset Exchange,P2P Cryptoasset Marketplaces,,2014,Private,United States,United States,,2016,,,Inactive
SESAMm,"Alternative Credit Analytics, Enterprise Tech Provisioning","Sociometric Analytics, AI / ML / NLP, Financial Management & Business Intelligence",2014,2014,Private,France,France,75,,,,Active
Seso Global,Digital Lending,P2P / Marketplace Property Lending,2018,2017,Private,Nigeria,Nigeria,10-Jan,,,,Active
SeSocio,"Cryptoasset Exchange, WealthTech","Retail Brokerage Services, Personal Financial Management / Planning",2016,2016,Private,Argentina,Argentina,51-200,,,,Active
Setoo,InsurTech,"Parametric-Based Insurance, Customer Management, Claims & Risk Management Solutions",2018,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Settle ,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Digital Remittances (Cross Border-P2P), Acquiring Services Providers for Merchants, eMoney Issuers, API Management, Financial Management & Business Intelligence, Electronic Invoicing",2010,2019,Private,Norway,Norway,51-200,,,,Active
Settle Network,"Digital Payments, RegTech","Settlement & Clearing Services Providers, Dynamic Compliance",,2019,Private,Argentina,Argentina,Nov-50,,,,Active
Seynse,Digital Lending,Balance Sheet Consumer Lending,2015,2017,Private,India,India,Nov-50,,,,Active
Sezzle,"Digital Payments, Digital Lending","Payment Gateways, Customer Cash-Advance",2016,2016,Public,United States,United States,201-500,,,,Active
SF Capital,"Digital Lending, WealthTech, Digital Payments","P2P / Marketplace Business Lending, Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2016,2017,Public,Indonesia,Indonesia,201-500,,,,Active
SFOX,Cryptoasset Exchange,Aggregation,2015,2014,Private,United States,United States,17,,,,Active
Shanhua Touzi,WealthTech,Digital Wealth Management,2014,2012,Private,China,China,Nov-50,,,,Active
ShapeShift,"Cryptoasset Exchange, Digital Custody","Retail Brokerage Services, Hardware Cryptoasset Wallet, Unhosted Cryptoasset Wallet",2015,2015,Private,United Kingdom,United States,51-200,,,,Active
SHARE Microfin,Digital Lending,Balance Sheet Consumer Lending,1999,2001,Private,India,India,,,,,Active
ShareIn,"Digital Capital Raising, Digital Lending","Equity-Based Crowdfunding, Debt-Based Securities, Community Shares, Real Estate Crowdfunding",2011,2013,Private,United Kingdom,United Kingdom,30,,,,Active
Sharestates,Digital Capital Raising,Real Estate Crowdfunding,2012,2013,Private,United States,United States,30,,,,Active
shareVestors,Digital Capital Raising,Real Estate Crowdfunding,2015,2015,Private,Poland,Poland,6,,,,Active
SheEO,Digital Lending,P2P / Marketplace Business Lending,2013,2013,Private,Canada,Canada,6,,,,Active
Sheep Marketplace,Digital Payments,Consumer Spending,2013,2013,Private,Unidentified,Unidentified,,2013,,,Inactive
Shenzhen Infogem Technologies,Digital Lending,P2P / Marketplace Consumer Lending,1998,1998,Public,China,China,750,,,,Active
Shield,"RegTech, Digital Identity","Risk Analytics, Fraud Prevention & Risk Management, Security & Biometrics",2008,2009,Private,Singapore,Singapore,51-200,,,,Active
Shield Finance,Digital Lending,Customer Cash-Advance,2015,2014,Private,Kenya,Kenya,10-Jan,2020,,,Inactive
Shift ,"Enterprise Tech Provisioning, InsurTech, RegTech","Financial Management & Business Intelligence, AI / ML / NLP, Claims & Risk Management Solutions, Risk Analytics",2013,2014,Private,France,France,201-500,,,,Active
Shift Cryptosecurity,Digital Custody,Hardware Cryptoasset Wallet,2015,2015,Private,Switzerland,Switzerland,,,,,Active
ShopeePay,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money",2014,2015,Private,Thailand,Thailand,51-200,,,,Active
Shoucainu,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,China,China,176,,,,Active
SHOUJIN,Digital Lending,P2P / Marketplace Consumer Lending,2014,2014,Private,China,China,76,,,,Active
Siam Validus,"Digital Lending, WealthTech","Debt-Based Securities, P2P / Marketplace Business Lending, Personal Financial Management / Planning",2020,2021,Private,Thailand,Thailand,Nov-50,,,,Active
SIBEX,Cryptoasset Exchange,P2P Cryptoasset Marketplaces,2019,2019,Private,Switzerland,Switzerland,,,,,Active
Sidecar Health,InsurTech,"Digital Brokers or Agents, Technical Service Provider (TSP)",2017,2018,Private,United States,United States,51-200,,,,Active
Siembro,"Digital Lending, Alternative Credit Analytics","Customer Cash-Advance, Credit Scoring, Merchant Cash-Advance",2017,2017,Private,Argentina,Argentina,Nov-50,,,,Active
Sifangqian,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending",2014,2014,Private,China,China,Nov-50,,,,Active
Sift,RegTech,"Risk Analytics, Regulatory Reporting, Financial Solution Provider and Consulting Service",2011,2011,Private,United States,United States,201-500,,,,Active
SigFig,WealthTech,Robo-Advisors,2006,2011,Private,United States,United States,201-500,,,,Active
Signifyd,RegTech,Risk Analytics,2011,2010,Private,United States,United States,201-500,,,,Active
Signzy,"Enterprise Tech Provisioning, Digital Identity, RegTech","AI / ML / NLP, API Management, Enterprise Blockchain, KYC Solutions, Fraud Prevention & Risk Management, Security & Biometrics, Profiling & Due Diligence, Dynamic Compliance",2015,2016,Private,India,India,51-200,,,,Active
SikatAbis,WealthTech,Financial Comparison Sites,,2014,Private,Indonesia,Indonesia,10-Jan,,,,Active
Sila,"Digital Identity, Digital Payments, Digital Custody, RegTech","KYC Solutions, Savings-as-a-Service (SaaS), Money Transfer (P2P / P2B / B2P / B2B), eMoney Wallet, Regulatory Reporting, API Hubs for Payments, eMoney Issuers, Dynamic Compliance, Digital Remittances (Domestic-P2P)",2018,2018,Private,United States,United States,Nov-50,,,,Active
Silent Eight,RegTech,Dynamic Compliance,2013,2013,Private,Singapore,Singapore,55,,,,Active
Silver Bullion,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2009,2009,Private,Singapore,Singapore,,,,,Active
SilverBridge,InsurTech,"Customer Management, Parametric-Based Insurance, Digital Brokers or Agents, Claims & Risk Management Solutions, Technical Service Provider (TSP)",1995,1995,Private,South Africa,South Africa,51-200,,,,Active
Silverfin,"Enterprise Tech Provisioning, RegTech","Cloud Computing, Digital Accounting, Financial Management & Business Intelligence, Dynamic Compliance",2013,2013,Private,Belgium,Belgium,51-200,,,,Active
Simpl,Digital Lending,Customer Cash-Advance,2015,2016,Private,India,India,201-500,,,,Active
Simple Crowdfunding,"Digital Lending, Digital Capital Raising","P2P / Marketplace Property Lending, Real Estate Crowdfunding",2013,2014,Private,United Kingdom,United Kingdom,6,,,,Active
Simple KYC,"Digital Identity, RegTech","KYC Solutions, Profiling & Due Diligence",2015,2015,Private,Australia,Australia,Nov-50,,,,Active
Simplenexus,"Enterprise Tech Provisioning, Digital Lending","Financial Management & Business Intelligence, Digital Accounting, P2P / Marketplace Property Lending",2011,2011,Private,United States,United States,201-500,,,,Active
Simplesurance,InsurTech,Digital Brokers or Agents,2012,2012,Private,Germany,Germany,51-200,,,,Active
SimpleSwap,Cryptoasset Exchange,Retail Brokerage Services,2019,2018,Private,United Kingdom,United Kingdom,,,,,Active
Simplex,Digital Payments,Payment processor,2014,2015,Private,Israel,Israel,,,,,Active
Simply Financial Services,"InsurTech, Digital Capital Raising, Digital Lending","Digital Brokers or Agents, Real Estate Crowdfunding, P2P / Marketplace Property Lending",2016,2016,Private,South Africa,South Africa,10-Jan,,,,Active
SimplyGiving.com,Digital Capital Raising,Donation-Based Crowdfunding,2010,2012,Private,Malaysia,Singapore,30,,,,Active
SimplyPayMe,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Financial Management & Business Intelligence, Acquiring Services Providers for Merchants",2007,2013,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
SINEGY,Cryptoasset Exchange,Order-Book,,2017,Private,Malaysia,Malaysia,Nov-50,,,,Active
SingSaver,"WealthTech, InsurTech","Financial Comparison Sites, Digital Brokers or Agents",2015,2015,Private,Singapore,Singapore,Nov-50,,,,Active
Skippr Cash Flow,Digital Lending,Invoice Trading,2015,2016,Private,Australia,Australia,6,,,,Active
Skry,RegTech,"Network statistics, Data aggregation, Market data, Directories, Block Explorers, Blockchain Forensics, Market surveillance",2014,2014,Private,United States,United States,5,2017,,,Inactive
Skuchain,"Digital Capital Raising, Enterprise Tech Provisioning","Donation-Based Crowdfunding, Financial Management & Business Intelligence, Digital Accounting, Enterprise Blockchain",2014,2014,Private,United States,United States,Nov-50,,,,Active
Sky Mavis,"Digital Custody, Cryptoasset Exchange, Consensus Services","Unhosted Cryptoasset Wallet, Retail Brokerage Services, Staking-as-a-Service, Block Explorers",2019,2021,Private,Singapore,Singapore,Nov-50,,,,Active
SkyCoinLab,Consensus Services,Cloud Mining,2014,2014,Private,Canada,Canada,,2017,,,Inactive
SkyFunders,Digital Capital Raising,Reward-Based Crowdfunding,2015,2016,Private,Colombia,Colombia,6,,,,Active
Skyline AI,WealthTech,Digital Wealth Management,2014,2017,Private,Israel,United States,Nov-50,,,,Active
Slice ,"InsurTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions, On-Demand Insurance, Financial Management & Business Intelligence, Cloud Computing, AI / ML / NLP",2015,2017,Private,United States,United States,Nov-50,,,,Active
SlowMist,RegTech,"Blockchain Forensics, Risk Analytics, KYC & AML",,2018,Private,China,Unidentified,,,,,Active
Slush Pool,"Consensus Services, Enterprise Tech Provisioning","Pool Operation, Firmware & Software Development, AI / ML / NLP, API Management",2011,2010,Private,British Virgin Islands,Czech Republic,,,,,Active
Smallcase,WealthTech,Personal Financial Management / Planning,2015,2015,Private,India,India,201-500,,,,Active
Smart Crowdfunding LLC,Digital Lending,"Balance Sheet Business Lending, Invoice Trading",2013,2013,Private,United States,United States,10-Jan,,,,Active
SmartAngels.fr,Digital Capital Raising,Equity-Based Crowdfunding,2014,2011,Private,France,France,30,,,,Active
SmartAsset,"WealthTech, InsurTech","Personal Financial Management / Planning, Financial Comparison Sites, Comparison Portal",2010,2011,Private,United States,United States,51-200,,,,Active
SmartBiz Loans,Digital Lending,Balance Sheet Business Lending,2014,2014,Private,United States,United States,76,,,,Active
SmartCoin,Digital Lending,Balance Sheet Consumer Lending,2015,2016,Private,India,India,51-200,,,,Active
SmartContract Blockchain Studio,"Consensus Services, Digital Payments, Enterprise Tech Provisioning, Digital Identity","Staking-as-a-Service, Asset-Backed Stablecoin, Algorithmic Stablecoin, Enterprise Blockchain, KYC Solutions",2016,2016,Private,Thailand,Thailand,10-Jan,,,,Active
SmartCredit.io,Digital Capital Raising,"Equity-Based Crowdfunding, Reward-Based Crowdfunding, Real Estate Crowdfunding, Revenue / Profit Share Crowdfunding",2017,2017,Private,Switzerland,Switzerland,10-Jan,,,,Active
SmartFunding,Digital Lending,Invoice Trading,2016,2016,Private,Singapore,Singapore,6,,,,Active
Smartika,Digital Lending,P2P / Marketplace Consumer Lending,2007,2011,Private,Italy,Italy,6,,,,Active
Smartkarma,"Enterprise Tech Provisioning, RegTech","API Management, Dynamic Compliance, Regulatory Reporting, Market Monitoring",2012,2014,Private,Singapore,Singapore,Nov-50,,,,Active
SmartMEI,Digital Lending,Invoice Trading,2015,2015,Private,Brazil,Brazil,6,,,,Active
SmartTeller,"Digital Banks, Enterprise Tech Provisioning, RegTech","Banking-as-a-Service (BaaS), Financial Management & Business Intelligence, Regulatory Reporting",2018,2018,Private,Nigeria,Nigeria,51-200,,,,Active
smava,WealthTech,"Financial Comparison Sites, Education and Training",,2007,Private,Germany,Germany,501-1000,,,,Active
SME Capital,Digital Lending,Debt-Based Securities,2014,2015,Private,United Kingdom,United Kingdom,6,,,,Active
SMECorner,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Property Lending",2013,2014,Private,India,India,201-500,,,,Active
Smergers,Digital Lending,P2P / Marketplace Business Lending,2015,2013,Private,India,India,Nov-50,,,,Active
SMILE IDENTITY INC,"Digital Identity, Digital Payments","KYC Solutions, Mobile Money",2016,2021,Private,United States,United States,,,,,Active
SnapCap,Digital Lending,Balance Sheet Business Lending,2012,2012,Private,United States,United States,30,,,,Active
SnapCheck,"Digital Payments, Digital Lending","Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B), Payment Aggregators, Points of Access (PoS / mPoS / Online PoS), P2P / Marketplace Consumer Lending, Top-ups & Refills, API Hubs for Payments",2015,2015,Private,United States,United States,10-Jan,,,,Active
Snapdocs,Enterprise Tech Provisioning,"Cloud Computing, Financial Management & Business Intelligence, AI / ML / NLP",2013,2013,Private,United States,United States,201-500,,,,Active
SnappRetail,Digital Payments,Points of Access (PoS / mPoS / Online PoS),,2019,Private,Pakistan,Pakistan,Nov-50,,,,Active
SnapScan,Digital Payments,"Money Transfer (P2P / P2B / B2P / B2B), Mobile Money, Acquiring Services Providers for Merchants, Top-ups & Refills, API Hubs for Payments",,2013,Private,South Africa,South Africa,10001-,,,,Active
Snapsheet,"InsurTech, Enterprise Tech Provisioning","Claims & Risk Management Solutions, Cloud Computing",2010,2011,Private,United States,United States,201-500,,,,Active
Snowball Effect,Digital Capital Raising,Equity-Based Crowdfunding,2011,2014,Private,New Zealand,New Zealand,30,,,,Active
"Snowball Finance (""Xueqiu"")",WealthTech,"Financial Comparison Sites, Social Trading",2010,2010,Private,China,China,Nov-50,,,,Active
SO-SURE,InsurTech,"Digital Brokers or Agents, Claims & Risk Management Solutions, Customer Management, P2P Insurance, Comparison Portal",2014,2016,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Social Lender,Digital Lending,Balance Sheet Consumer Lending,,2014,Private,Nigeria,Nigeria,10-Jan,,,,Active
Social Market Analytics,"Alternative Credit Analytics, Enterprise Tech Provisioning","Sociometric Analytics, AI / ML / NLP, Cloud Computing",,2012,Private,United States,United States,Nov-50,,,,Active
Socialgiver,Digital Capital Raising,Reward-Based Crowdfunding,2012,2014,Private,Thailand,Thailand,6,,,,Active
SocietyOne,Digital Lending,P2P / Marketplace Consumer Lending,2011,2012,Private,Australia,Australia,30,,,,Active
SocioLadder,Digital Capital Raising,"Revenue / Profit Share Crowdfunding, Donation-Based Crowdfunding",2017,2017,Private,United States,United States,30,,,,Active
SociosInversores.com,Digital Capital Raising,Equity-Based Crowdfunding,2011,2011,Private,Spain,Spain,30,,,,Active
Socotra,Enterprise Tech Provisioning,"API Management, Cloud Computing, Electronic Invoicing",2014,2014,Private,United States,United States,51-200,,,,Active
Socrowd,Digital Capital Raising,Equity-Based Crowdfunding,2004,2013,Private,Belgium,Belgium,6,,,,Active
Socure,Digital Identity,"Security & Biometrics, KYC Solutions, Fraud Prevention & Risk Management",2012,2011,Private,United States,United States,201-500,,,,Active
SoFi,"Digital Lending, WealthTech, InsurTech","P2P / Marketplace Consumer Lending, Digital Wealth Management, Digital Brokers or Agents",2011,2012,Private,United States,United States,1001-5000,,,,Active
Soisy,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,Italy,Italy,30,,,,Active
SokoHela ,"Digital Lending, Enterprise Tech Provisioning","Balance Sheet Business Lending, Financial Management & Business Intelligence, Digital Accounting",,2018,Private,Kenya,Kenya,10-Jan,,,,Active
Sokowatch,Digital Payments,"Digital Remittances (Domestic-P2P), Mobile Money",2013,2013,Private,Uganda,Kenya,289,,,,Active
Solarisbank,"Digital Banks, Digital Payments","Banking-as-a-Service (BaaS), API Hubs for Payments",2016,2016,Private,Germany,Germany,201-500,,,,Active
Soldo,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2017,2015,Private,Ireland,United Kingdom,51-200,,,,Active
Solfeh,"Digital Lending, Digital Savings","Customer Cash-Advance, P2P / Marketplace Consumer Lending, Digital Micro Saving Solutions",,2015,Private,Jordan,Jordan,Nov-50,,,,Active
SolidX,Cryptoasset Exchange,"Portfolio management, Retail Brokerage Services, Application development",2014,2014,Private,United States,United States,,,,,Active
Solventa,Digital Lending,Balance Sheet Consumer Lending,,2019,Private,Colombia,Argentina,51-200,,,,Active
Sonect,"Digital Banks, Digital Payments","Agent Banking (Cash-In / Cash-Out), Mobile Money",2018,2016,Private,Switzerland,Switzerland,Nov-50,,,,Active
SoulWallet,"WealthTech, InsurTech","Financial Comparison Sites, Comparison Portal",,2018,Private,United Arab Emirates,United Arab Emirates,10-Jan,,,,Active
Souqalmal,"WealthTech, InsurTech","Financial Comparison Sites, Comparison Portal, Digital Brokers or Agents",2012,2012,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
SovereignWallet Network Pte. Ltd.,"Cryptoasset Exchange, Digital Custody","P2P Cryptoasset Marketplaces, Decentralised Exchange (DEX) Relayer, Hosted Cryptoasset Wallet, eMoney Wallet",2015,2018,Private,Singapore,Singapore,Nov-50,,,,Active
Sowefund,Digital Capital Raising,Equity-Based Crowdfunding,2014,2012,Private,France,France,30,,,,Active
Spacehive,Digital Capital Raising,Donation-Based Crowdfunding,2011,2012,Private,United Kingdom,United Kingdom,30,,,,Active
Sparkle,Digital Banks,"Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",2019,2020,Private,Nigeria,Nigeria,Nov-50,,,,Active
SpectroCoin,"Cryptoasset Exchange, Digital Payments, Digital Custody","Order-Book, Payment processor, Hosted Cryptoasset Wallet, Consumer Spending",2013,2013,Private,Lithuania,Lithuania,36,,,,Active
Spectrum Message Services,"Digital Payments, Digital Identity","Money Transfer (P2P / P2B / B2P / B2B), Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Payment Aggregators, Payment Gateways, Fraud Prevention & Risk Management",2008,2012,Private,Australia,Australia,Nov-50,,,,Active
Spendabit,Cryptoasset Exchange,"Aggregation, Data aggregation",2014,2014,Private,Unidentified,Unidentified,,,,,Active
Spendesk,"Digital Payments, Enterprise Tech Provisioning","eMoney Issuers, Digital Accounting, Electronic Invoicing, Financial Management & Business Intelligence",2016,2018,Private,France,France,201-500,,,,Active
Spendit,Digital Savings,Savings-as-a-Service (SaaS),2018,2014,Private,Germany,Germany,48,,,,Active
Spenny ,"WealthTech, Digital Savings","Personal Financial Management / Planning, Digital Micro Saving Solutions",2020,2020,Private,India,India,Nov-50,,,,Active
Sphonic,Digital Identity,"Fraud Prevention & Risk Management, KYC Solutions",2012,2012,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Spice Money,"Digital Banks, Digital Payments, InsurTech, Digital Lending, Digital Identity","Fully Digitally Native Bank (Retail), eMoney Issuers, Top-ups & Refills, API Hubs for Payments, Mobile Money, Digital Brokers or Agents, Crowd-Led Microfinance, Security & Biometrics",2000,2019,Private,India,India,201-500,,,,Active
Spiderpool,Consensus Services,Pool Operation,,2018,Private,China,China,10-Jan,,,,Active
Spin Analytics Limited,RegTech,"Regulatory Reporting, Risk Analytics",2015,2015,Private,United Kingdom,United Kingdom,10-Jan,,,,Active
Spin Mobile,"Alternative Credit Analytics, Digital Banks","Credit Scoring, Banking-as-a-Service (BaaS)",2019,2020,Private,Kenya,Kenya,51-200,,,,Active
Splash Financial,"Digital Lending, WealthTech","P2P / Marketplace Consumer Lending, Financial Comparison Sites",2015,2017,Private,United States,United States,51-200,,,,Active
Spleis,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2016,2016,Private,Norway,Norway,,,,,Active
Splintr,"Digital Payments, Digital Lending","Payment Gateways, Customer Cash-Advance",2019,2021,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
Split,Digital Lending,Customer Cash-Advance,2014,2015,Private,United States,United States,10-Jan,,,,Active
Splitted,Digital Capital Raising,Donation-Based Crowdfunding,2019,2019,Private,Italy,Italy,6,,,,Active
Spondoolies Tech,Consensus Services,"Hardware Manufacturing, Cloud Mining",2013,2014,Private,Israel,Israel,,2015,,,Inactive
SPONSOR.ME,Digital Capital Raising,Reward-Based Crowdfunding,2015,2015,Private,Norway,Norway,10-Jan,,,,Active
Sponsume.com,Digital Capital Raising,Reward-Based Crowdfunding,2009,2010,Private,United Kingdom,United Kingdom,10-Jan,2015,,,Inactive
Spoon Money,Digital Savings,Digital Savings Collective / Pool,2019,2017,Private,South Africa,South Africa,4,,,,Active
SportSupporter,Digital Capital Raising,Reward-Based Crowdfunding,2015,2015,Private,Italy,Italy,,,,,Active
spot9,"Cryptoasset Exchange, WealthTech, Digital Payments","Bitcoin Teller Machines (BTM), Personal Financial Management / Planning, Money Transfer (Cryptoasset)",2017,2020,Private,Germany,Germany,Nov-50,,,,Active
Spotcap,Digital Lending,Balance Sheet Business Lending,2014,2014,Private,Australia,Germany,176,,,,Active
Spotii,"Alternative Credit Analytics, Digital Lending","Sociometric Analytics, Credit Scoring, Customer Cash-Advance",,2020,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
SpotOn,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants",2017,2010,Private,United States,United States,1001-5000,,,,Active
GoBiz,"Digital Payments, Digital Lending","Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Balance Sheet Business Lending",,2018,Private,Indonesia,Indonesia,,,,,Active
Spreds,Digital Capital Raising,Equity-Based Crowdfunding,2011,2014,Private,Belgium,Belgium,6,,,,Active
Spruce,"Digital Lending, Enterprise Tech Provisioning, WealthTech, InsurTech","P2P / Marketplace Property Lending, API Management, Financial Management & Business Intelligence, Digital Wealth Management, Digital Brokers or Agents",2016,2017,Private,United States,United States,201-500,,,,Active
Sqrrl,"Digital Lending, WealthTech","P2P / Marketplace Consumer Lending, Personal Financial Management / Planning",2016,2016,Private,India,India,Nov-50,,,,Active
Square,"Enterprise Tech Provisioning, Digital Payments, WealthTech, Digital Lending","API Management, Electronic Invoicing, API Hubs for Payments, Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Money Transfer (P2P / P2B / B2P / B2B), Personal Financial Management / Planning, Balance Sheet Business Lending, API Interface",2009,2009,Public,United States,United States,6827,,,,Active
Squirrel Money,Digital Lending,P2P / Marketplace Consumer Lending,2015,2015,Private,New Zealand,New Zealand,176,,,,Active
Sr.Pago,Digital Payments,Payment processor,,2010,Private,Mexico,Mexico,51-200,,,,Active
Sribuu,"WealthTech, Digital Payments","Personal Financial Management / Planning, Top-ups & Refills",2020,2020,Private,Indonesia,Indonesia,Nov-50,,,,Active
Stack,WealthTech,Digital Wealth Management,2019,2021,Private,India,India,Nov-50,,,,Active
Stacs,Enterprise Tech Provisioning,"Enterprise Blockchain, Financial Management & Business Intelligence, API Management",2019,2019,Private,Singapore,Singapore,38,,,,Active
Stake,"WealthTech, Digital Capital Raising","Digital Wealth Management, Real Estate Crowdfunding",2020,2021,Private,United Arab Emirates,United Arab Emirates,Nov-50,,,,Active
Stampli,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Digital Accounting, AI / ML / NLP, API Management, Settlement & Clearing Services Providers, Money Transfer (P2P / P2B / B2P / B2B)",2016,2015,Private,United States,United States,51-200,,,,Active
Staple,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting, AI / ML / NLP",2018,2019,Private,Singapore,Singapore,Nov-50,,,,Active
STARLING BANK,"Digital Payments, Digital Banks, Enterprise Tech Provisioning","API Hubs for Payments, Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME), Banking-as-a-Service (BaaS), Marketplace Bank (MSME), Digital Accounting",2014,2014,Private,United Kingdom,United Kingdom,1001-5000,,,,Active
Starsup,Digital Capital Raising,Equity-Based Crowdfunding,2013,2014,Private,Italy,Italy,,,,,Active
Start 51,Digital Capital Raising,Reward-Based Crowdfunding,2012,2013,Private,India,India,6,,,,Active
StartEngine,Digital Capital Raising,Equity-Based Crowdfunding,2011,2011,Private,United States,United States,30,,,,Active
Startnext Crowdfunding GmbH,Digital Capital Raising,Reward-Based Crowdfunding,2010,2015,Private,Germany,Germany,30,,,,Active
StartSomeGood.com,Digital Capital Raising,Reward-Based Crowdfunding,2011,2011,Private,United States,Australia,6,,,,Active
StartupValley,Digital Capital Raising,Equity-Based Crowdfunding,2012,2016,Private,United States,United States,6,,,,Active
Startupxplore,Digital Capital Raising,Equity-Based Crowdfunding,2014,2012,Private,Spain,Spain,6,,,,Active
Startzai,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,Italy,Italy,6,,,,Active
Stash,"WealthTech, Digital Savings, Digital Banks","Digital Wealth Management, Personal Financial Management / Planning, Pension-Led Funding, Digital Micro Saving Solutions, Agent Banking (Cash-In / Cash-Out)",2015,2015,Private,United States,United States,201-500,,,,Active
StashAway,"WealthTech, Digital Savings","Digital Wealth Management, Social Trading, Pension-Led Funding, Robo Retirement / Pension Planning, Robo-Advisors, Digital Money Market / Fund  ",2016,2016,Private,Singapore,Singapore,51-200,,,,Active
StashFin,"Digital Banks, Digital Lending","Fully Digitally Native Bank (Retail), Balance Sheet Consumer Lending",2016,2017,Private,India,India,51-200,,,,Active
