Status,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status
Active,CoinFLEX,Cryptoasset Exchange,Advanced Trading Services,,2019,Private,Seychelles,"Hong Kong SAR, China",,,,
Active,Coinfinity,"Cryptoasset Exchange, Digital Payments, Digital Custody","Business consulting, Retail Brokerage Services, Bitcoin Teller Machines (BTM), Payment processor, Single Dealer Platform / OTC Trading, Unhosted Cryptoasset Wallet",2014,2014,Private,Austria,Austria,,,,
Active,Coinffeine,Cryptoasset Exchange,"P2P Cryptoasset Marketplaces, Single Dealer Platform / OTC Trading",2013,2015,Private,Spain,Spain,,,,
Active,CoinEX,Cryptoasset Exchange,"Order-Book, Advanced Trading Services, Decentralised Exchange (DEX) Relayer, Sub-segment protocols / construction",2017,2017,Private,Estonia,"Hong Kong SAR, China",,,,
Active,CoinDCX,Cryptoasset Exchange,"Order-Book, Retail Brokerage Services, Market data, Lending / Borrowing, Advanced Trading Services",2018,2018,Private,India,Singapore,,,,
Inactive,Coincube,Cryptoasset Exchange,"Portfolio management, Aggregation",2014,2015,Private,United States,United States,4,2017,,
Active,CoinCorner,"Digital Payments, Cryptoasset Exchange","Payment processor, Order-Book, Consumer Spending",2014,2014,Private,United Kingdom,United Kingdom,,,,
Active,Coincheck,"Cryptoasset Exchange, Digital Payments, Digital Custody","Order-Book, Payment processor, Hosted Cryptoasset Wallet, Money Transfer (Cryptoasset), Lending / Borrowing, Single Dealer Platform / OTC Trading",2012,2014,Private,Japan,Japan,168,,,
Active,Coinbase,"Cryptoasset Exchange, Digital Custody, Digital Payments, Enterprise Tech Provisioning, Consensus Services","Retail Brokerage Services, Order-Book, Institutional Brokerage Services, Single Dealer Platform / OTC Trading, Hosted Cryptoasset Wallet, Payment processor, Points of Access (Cryptoasset), API Hubs for Payments, Money Transfer (Cryptoasset), Asset-Backed Stablecoin, Consumer Spending, API Management, Cloud Computing, Staking-as-a-Service, Education and Training",2012,2012,Public,United States,United States,1001-5000,,,
Inactive,Coinarch,Cryptoasset Exchange,Order-Book,2014,2014,Private,Singapore,Singapore,,2015,,
Inactive,Coinapult,"Digital Custody, Cryptoasset Exchange, Digital Payments","Hosted Cryptoasset Wallet, Retail Brokerage Services, Payment processor",2012,2012,Private,United States,United States,,2018,,
Inactive,Coinage,Cryptoasset Exchange,Order-Book,2017,2017,Private,Japan,Japan,,2020,,
Inactive,Coinabul,Cryptoasset Exchange,Retail Brokerage Services,2010,2011,Private,United States,United States,1-10,2015,,
Inactive,Coin.mx,"Digital Payments, Cryptoasset Exchange","Payment processor, Order-Book",2013,2013,Private,United States,United States,,2015,,
Inactive,Coin.co,Digital Payments,Payment processor,2014,2014,Private,United States,United States,,2017,,
Inactive,Coin-Swap,Cryptoasset Exchange,Order-Book,2014,2013,Private,Unidentified,United States,2,2015,,
Inactive,Coin Sciences,Enterprise Tech Provisioning,"Enterprise Blockchain, Notarisation, Block Explorers",2014,2014,Private,United Kingdom,Israel,,2015,,
Inactive,Coin Republic,Cryptoasset Exchange,"Online newspaper, Retail Brokerage Services, Bitcoin Teller Machines (BTM), Business consulting, Education and Training",2009,2013,Private,Singapore,Singapore,,2015,,
Active,Coin Loft,Cryptoasset Exchange,Retail Brokerage Services,2012,2014,Private,Australia,Australia,,,,
Active,Cogress,Digital Capital Raising,Real Estate Crowdfunding,2014,2014,Private,United Kingdom,United Kingdom,,,,
Active,CoGo,WealthTech,"Digital Wealth Management, Advocacy, Education and Training",2016,2019,Private,New Zealand,New Zealand,51-200,,,
Active,Cognito,Digital Identity,"KYC Solutions, Fraud Prevention & Risk Management, KYC & AML",2013,2014,Private,United States,United States,67,,,
Active,Cognitive View,"Enterprise Tech Provisioning, RegTech","AI / ML / NLP, Enterprise Blockchain, Regulatory Reporting, Dynamic Compliance, Risk Analytics",2018,2018,Private,Australia,Australia,12,,,
Active,CoFundie,Digital Capital Raising,"Real Estate Crowdfunding, Revenue / Profit Share Crowdfunding",2019,2019,Private,Ghana,Ghana,4,,,
Active,Codat,Enterprise Tech Provisioning,API Management,2016,2017,Private,United Kingdom,United Kingdom,51-200,,,
Active,Coconut,Enterprise Tech Provisioning,"Digital Accounting, Electronic Invoicing",2015,2018,Private,United Kingdom,United Kingdom,11-50,,,
Active,Cobrotech,"Enterprise Tech Provisioning, RegTech","AI / ML / NLP, Electronic Invoicing, Digital Accounting, Financial Management & Business Intelligence, Dynamic Compliance",2016,2016,Private,Chile,Chile,2,,,
Active,Cobase ,Digital Banks,"Marketplace Bank (Retail), Marketplace Bank (MSME)",2017,2017,Private,Netherlands,Netherlands,51-200,,,
Active,CoAssets,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2013,2013,Public,Singapore,Singapore,6,,,
Active,Coalition,"Digital Identity, Enterprise Tech Provisioning, InsurTech","Fraud Prevention & Risk Management, Financial Management & Business Intelligence, Parametric-Based Insurance, Digital Brokers or Agents, Education and Training",2017,2017,Private,United States,United States,201-500,,,
Active,Clyde,InsurTech,"Usage-Based Insurance, Digital Brokers or Agents, Claims & Risk Management Solutions",2017,2017,Private,United States,United States,11-50,,,
Active,Clubfunding,Digital Capital Raising,"Real Estate Crowdfunding, Revenue / Profit Share Crowdfunding",2014,2015,Private,France,France,11-50,,,
Active,CloudWalk ,"Digital Payments, Enterprise Tech Provisioning","Acquiring Services Providers for Merchants, Asset-Backed Stablecoin, Digital Accounting, Financial Management & Business Intelligence, Enterprise Blockchain",2014,2019,Private,United States,Brazil,201-500,,,
Active,CloudMargin,"RegTech, Enterprise Tech Provisioning","Risk Analytics, Financial Management & Business Intelligence",2013,2013,Private,United Kingdom,United Kingdom,51-200,,,
Active,Clip,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Top-ups & Refills",2013,2013,Private,Mexico,Mexico,501-1000,,,
Active,Clim8 Invest,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning",2019,2020,Private,United Kingdom,United Kingdom,11-50,,,
Inactive,Click & Pay,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2015,2016,Private,India,India,11-50,2017,,
Active,ClicInvest,Digital Lending,P2P / Marketplace Business Lending,2015,2015,Private,Portugal,Portugal,6,,,
Inactive,CleverCoin,Cryptoasset Exchange,Order-Book,2014,2013,Private,Netherlands,Netherlands,,2016,,
Active,CleverCards,"Digital Payments, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Financial Management & Business Intelligence",2011,2019,Private,Ireland,Ireland,11-50,,,
Active,Cleo,"WealthTech, Digital Savings, Digital Lending, Digital Payments","Personal Financial Management / Planning, Digital Micro Saving Solutions, Customer Cash-Advance, Money Transfer (P2P / P2B / B2P / B2B)",2015,2016,Private,United Kingdom,United Kingdom,51-200,,,
Active,CLEARTRACK,"RegTech, Enterprise Tech Provisioning, Digital Payments","Dynamic Compliance, Risk Analytics, Regulatory Reporting, Profiling & Due Diligence, Financial Management & Business Intelligence, Settlement & Clearing Services Providers, Investment advisory",2013,2013,Private,United States,United States,11-50,,,
Active,ClearScore,"Alternative Credit Analytics, WealthTech","Credit Scoring, Personal Financial Management / Planning, Financial Comparison Sites",2014,2015,Private,United Kingdom,United Kingdom,201-500,,,
Active,ClearGlass,"RegTech, WealthTech","Regulatory Reporting, Personal Financial Management / Planning, Data aggregation",2018,2018,Private,United Kingdom,United Kingdom,23,,,
Active,Clearcover,InsurTech,Parametric-Based Insurance,2016,2018,Private,United States,United States,201-500,,,
Active,Clearco,Digital Lending,Merchant Cash-Advance,2015,2015,Private,Canada,Canada,201-500,,,
Active,ClearBank,"Digital Banks, Digital Payments","Banking-as-a-Service (BaaS), API Hubs for Payments, Payment Gateways, Settlement & Clearing Services Providers, Points of Access (PoS / mPoS / Online PoS)",2015,2014,Private,United Kingdom,United Kingdom,51-200,,,
Active,Clear,"WealthTech, Enterprise Tech Provisioning","Personal Financial Management / Planning, Financial Comparison Sites, Financial Management & Business Intelligence, Electronic Invoicing",2016,2011,Private,India,India,1001-5000,,,
Active,Clark ,"InsurTech, WealthTech","Comparison Portal, Robo-Advisors, Digital Wealth Management",2015,2015,Private,Germany,Germany,201-500,,,
Inactive,Clarity Money,"WealthTech, Digital Savings","Personal Financial Management / Planning, Digital Micro Saving Solutions",2016,2016,Private,United States,United States,11-50,2021,,
Active,CLARA Analytics,InsurTech,Claims & Risk Management Solutions,2017,2016,Private,United States,United States,11-50,,,
Active,CKPool,Consensus Services,Pool Operation,2014,2014,Private,Unidentified,Unidentified,,,,
Active,Civislend,Digital Capital Raising,Real Estate Crowdfunding,2016,2017,Private,Spain,Spain,1-10,,,
Active,Civic,Digital Custody,"KYC & AML, Unhosted Cryptoasset Wallet",2015,2016,Private,United States,United States,,,,
Inactive,Citrus Pay,"Digital Payments, Digital Custody","Payment Gateways, eMoney Wallet",2011,2011,Private,India,India,,2016,,
Active,Citizinvestor,Digital Capital Raising,Donation-Based Crowdfunding,2013,2013,Private,United States,United States,30,,,
Active,CircleUp,Digital Lending,P2P / Marketplace Consumer Lending,2012,2012,Private,United States,United States,176,,,
Active,Circle FinTech,Digital Banks,Banking-as-a-Service (BaaS),2018,2017,Private,Bangladesh,Bangladesh,11-50,,,
Active,Circle,Digital Payments,Asset-Backed Stablecoin,2013,2014,Private,Ireland,United States,270,,,
Active,Ciphrex,Digital Custody,"Sub-segment protocols / construction, Unhosted Cryptoasset Wallet",2014,2014,Private,United States,United States,10,,,
Active,CipherTrace,RegTech,"KYC & AML, Compliance, Blockchain Forensics",2015,2016,Private,United States,United States,,,,
Active,Cinnamon AI,Enterprise Tech Provisioning,AI / ML / NLP,2016,2016,Private,Japan,Japan,51-200,,,
Active,Cicil.co.id,Digital Lending,"Customer Cash-Advance, Balance Sheet Consumer Lending",2016,2017,Private,Indonesia,Indonesia,51-200,,,
Active,Chynge,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P)",2015,2016,Private,Singapore,Singapore,11-50,,,
Active,Churpy,"Digital Payments, Enterprise Tech Provisioning","API Hubs for Payments, Money Transfer (P2P / P2B / B2P / B2B), Electronic Invoicing",2020,2021,Private,United States,Kenya,1-10,,,
Active,chura.co.ke,Digital Payments,"Top-ups & Refills, Bulk Payment Solutions, Money Transfer (P2P / P2B / B2P / B2B)",,2013,Private,Kenya,Kenya,1-10,,,
Active,Chuffed.org,Digital Capital Raising,Donation-Based Crowdfunding,2013,2013,Private,Australia,Australia,6,,,
Active,Chqbook,"WealthTech, InsurTech, Digital Banks, Enterprise Tech Provisioning, Digital Payments, Digital Lending","Financial Comparison Sites, Personal Financial Management / Planning, Digital Brokers or Agents, Agent Banking (Cash-In / Cash-Out), Fully Digitally Native Bank (Retail), Financial Management & Business Intelligence, Money Transfer (P2P / P2B / B2P / B2B), Balance Sheet Business Lending, Balance Sheet Consumer Lending",2016,2017,Private,India,India,51-200,,,
Active,Chongqing Fumin Bank,Digital Banks,"Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",2016,2017,Private,China,China,201-500,,,
Active,Choice by KT,Digital Custody,"Third-Party Custody, Hosted Cryptoasset Wallet",2010,2009,Private,United States,United States,51-200,,,
Active,Chivo,"Cryptoasset Exchange, Digital Payments","Bitcoin Teller Machines (BTM), Money Transfer (Cryptoasset)",2021,2021,Private,El Salvador,El Salvador,51-200,,,
Active,CHITA,Digital Lending,"Invoice Trading, Balance Sheet Business Lending",2015,2015,Private,Chile,United States,30,,,
Active,Chipper Cash,Digital Payments,"Digital Remittances (Cross Border-P2P), Digital Remittances (Domestic-P2P), Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Mobile Money, Points of Access (PoS / mPoS / Online PoS), Payment Gateways, API Hubs for Payments",2014,2017,Private,United States,United States,51-200,,,
Inactive,Chip Chap,"Cryptoasset Exchange, Digital Payments","Retail Brokerage Services, Top-ups & Refill (Cryptoasset)",2015,2015,Private,Spain,Spain,,2018,,
Active,China UnionPay Merchant Services,InsurTech,Digital Brokers or Agents,2002,2002,Private,China,China,1001-5000,,,
Active,Chimp,Digital Capital Raising,Donation-Based Crowdfunding,2008,2011,Private,Canada,Portugal,6,,,
Active,Chime,"Digital Savings, WealthTech, Digital Payments","Digital Micro Saving Solutions, Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2012,2014,Private,United States,United States,1001-5000,,,
Inactive,Chillr,Digital Payments,Money Transfer (P2P / P2B / B2P / B2B),2013,2016,Private,India,India,51-200,2018,,
Active,Cherehani Africa,Digital Lending,"Balance Sheet Business Lending, Education and Training",2015,2014,Private,Kenya,Kenya,1-10,,,
Active,Chenengdai,Digital Lending,P2P / Marketplace Consumer Lending,2014,2014,Private,China,China,,,,
Active,Cheetah Miner,Consensus Services,Hardware Manufacturing,,2019,Private,China,China,,,,
Active,checkout.com,"Digital Payments, RegTech, Digital Identity","Payment Gateways, API Hubs for Payments, Risk Analytics, Market Monitoring, Fraud Prevention & Risk Management",2012,2012,Private,United Kingdom,United Kingdom,1001-5000,,,
Active,Check,Digital Payments,API Hubs for Payments,,2021,Private,United States,United States,51-200,,,
Active,Chaty,Digital Payments,Acquiring Services Providers for Merchants,,2018,Private,Peru,Peru,1-10,,,
Active,Charm Impact,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Crowd-Led Microfinance, Donation-Based Crowdfunding, Community Shares, Capital Raising Institutional Brokerage",2018,2018,Private,United Kingdom,United Kingdom,1-10,,,
Active,Charitism,Digital Capital Raising,Donation-Based Crowdfunding,2019,2018,Private,India,India,1-10,,,
Active,Charitable Impact,Digital Capital Raising,Donation-Based Crowdfunding,2010,2010,Private,Canada,Canada,76,,,
Active,Chargebee,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Financial Management & Business Intelligence, API Hubs for Payments",2010,2012,Private,United States,United States,1001-5000,,,
Active,Chaptr Global,Digital Lending,Customer Cash-Advance,,2019,Private,Kenya,Kenya,1-10,,,
Active,ChapChap Africa,"Digital Payments, Enterprise Tech Provisioning, Alternative Credit Analytics, Digital Banks","Digital Remittances (Domestic-P2P), Points of Access (PoS / mPoS / Online PoS), Mobile Money, Top-ups & Refills, Payment Gateways, Acquiring Services Providers for Merchants, Payment Aggregators, Financial Management & Business Intelligence, Alternative Credit Rating Agency, Agent Banking (Cash-In / Cash-Out)",2016,2016,Private,Uganda,Uganda,11-50,,,
Active,ChapaCash,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Property Lending, Invoice Trading",2018,2019,Private,Peru,Peru,1-10,,,
Inactive,ChangeTip,Digital Payments,"Money Transfer (Cryptoasset), Money Transfer (P2P / P2B / B2P / B2B), Micropayments",2013,2013,Private,United States,United States,11-50,2016,,
Active,changehero,Cryptoasset Exchange,Retail Brokerage Services,2019,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,,,
Active,Chamasoft,"Enterprise Tech Provisioning, Digital Savings","Digital Accounting, Electronic Invoicing, API Management, Digital Savings Collective / Pool",2013,2014,Private,Kenya,Kenya,11-50,,,
Inactive,Chamapesa,Digital Savings,"Digital Savings Collective / Pool, Savings-as-a-Service (SaaS)",,2014,Private,Kenya,Bermuda,,2019,,
Active,Chaka,"WealthTech, Digital Capital Raising","Digital Wealth Management, Capital Raising Retail Brokerage, Capital Raising Institutional Brokerage",2019,2020,Private,Nigeria,Nigeria,11-50,,,
Inactive,ChainPay,Digital Payments,"Payment processor, Money Transfer (Cryptoasset)",2014,2014,Private,United Kingdom,United Kingdom,,2016,,
Active,Chainalysis,RegTech,"Blockchain Forensics, Industry research, KYC & AML",2015,2014,Private,United States,United States,130,,,
Inactive,CGTZ,WealthTech,Digital Wealth Management,,2014,Private,China,China,11-50,2019,,
Active,CFOremoto,"Alternative Credit Analytics, Enterprise Tech Provisioning, RegTech","Credit Scoring, Financial Management & Business Intelligence, AI / ML / NLP, Risk Analytics, Investment advisory",2015,2015,Private,Chile,Chile,51-200,,,
Active,CFGI,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Regulatory Reporting, Dynamic Compliance, Taxation",2014,2000,Private,United States,United States,501-1000,,,
Active,CEX.io,"Cryptoasset Exchange, Digital Payments","Order-Book, Payment processor",2013,2013,Private,United Kingdom,Ukraine,200,,,
Active,CertiK,"RegTech, Enterprise Tech Provisioning","Blockchain Forensics, AI / ML / NLP",2018,2020,Private,United States,United States,51-200,,,
Active,Certainty Compliance Pty Ltd,RegTech,Dynamic Compliance,2007,2016,Private,Australia,Australia,11-50,,,
Active,Cermati,"InsurTech, WealthTech","Comparison Portal, Financial Comparison Sites",2014,2015,Private,Indonesia,Indonesia,501-1000,,,
Active,CentralMaster,Digital Banks,"Agent Banking (Cash-In / Cash-Out), Business consulting",2014,2019,Private,Brazil,Brazil,201-500,,,
Active,Celo,Digital Payments,Asset-Backed Stablecoin,2017,2019,Non profit,United States,United States,11-50,,,
Active,Cellulant,Digital Payments,"Payment Gateways, Settlement & Clearing Services Providers, Points of Access (PoS / mPoS / Online PoS)",2003,2007,Private,Kenya,Kenya,201-500,,,
Inactive,Celengan.id,"Digital Payments, WealthTech","Top-ups & Refills, Personal Financial Management / Planning",,2017,Private,Indonesia,Indonesia,1-10,2019,,
Active,Cedar,"Enterprise Tech Provisioning, Digital Payments, InsurTech","Financial Management & Business Intelligence, Electronic Invoicing, Payment Gateways, Customer Management",2016,2017,Private,United States,United States,201-500,,,
Inactive,Caytree Partners,Digital Lending,P2P / Marketplace Business Lending,,2012,Private,Unidentified,Kenya,1-10,2020,,
Inactive,Cavirtex,Cryptoasset Exchange,"Retail Brokerage Services, Order-Book",2011,2011,Private,Canada,Canada,,2015,,
Active,Catarse,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2010,2011,Private,Brazil,Brazil,11-50,,,
Active,Catapooolt,Digital Capital Raising,Reward-Based Crowdfunding,2012,2013,Private,India,India,6,,,
Active,CashRich,WealthTech,Personal Financial Management / Planning,2015,2015,Private,India,India,11-50,,,
Active,CashPlus Bank,Digital Banks,"Fully Digitally Native Bank (MSME), Fully Digitally Native Bank (Retail)",2003,2005,Private,United Kingdom,United Kingdom,51-200,,,
Active,CashMe SpA,Digital Lending,Invoice Trading,2016,2016,Private,Italy,Italy,6,,,
Active,CashMe,Digital Lending,Balance Sheet Property Lending,2019,2018,Private,Brazil,Brazil,201-500,,,
Active,Cashlez,Digital Payments,"Points of Access (PoS / mPoS / Online PoS), Payment Gateways",2015,2016,Public,Indonesia,Indonesia,51-200,,,
Active,Cashkumar,Digital Lending,P2P / Marketplace Consumer Lending,2012,2014,Private,India,India,11-50,,,
Active,CashInvoice,Digital Lending,"Invoice Trading, Balance Sheet Business Lending",2017,2017,Private,Italy,Italy,11-50,,,
Inactive,Cashila,Digital Payments,Money Transfer (Cryptoasset),2014,2014,Private,Czech Republic,Czech Republic,,2017,,
Active,Cashfree Payments,"Digital Payments, Digital Banks, Digital Identity","API Hubs for Payments, Bulk Payment Solutions, Payment Gateways, Points of Access (PoS / mPoS / Online PoS), Banking-as-a-Service (BaaS), KYC Solutions",2015,2016,Private,India,India,201-500,,,
Active,Cashew Payments,"Digital Payments, Digital Lending","Payment Gateways, Acquiring Services Providers for Merchants, Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Customer Cash-Advance",2020,2020,Private,United Arab Emirates,United Arab Emirates,11-50,,,
Active,Cashee,"WealthTech, Digital Payments","Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B)",2020,2021,Private,United Arab Emirates,United Arab Emirates,1-10,,,
Active,CASHe,"Digital Lending, Alternative Credit Analytics","Balance Sheet Consumer Lending, Customer Cash-Advance, Sociometric Analytics",2015,2016,Private,India,India,201-500,,,
Active,Cashcow.ai,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2017,2017,Private,India,India,11-50,,,
Active,Cashcash Pro,WealthTech,Financial Comparison Sites,2017,2018,Private,Indonesia,Indonesia,11-50,,,
Inactive,CashCare,Digital Lending,Customer Cash-Advance,2014,2014,Private,India,India,1-10,2018,,
Active,CashBook,Enterprise Tech Provisioning,Digital Accounting,2021,2021,Private,India,India,1-10,,,
Inactive,Cash2BTC,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),,2014,Private,United States,United States,,2016,,
Inactive,Cash To Crypto,Cryptoasset Exchange,"Retail Brokerage Services, Bitcoin Teller Machines (BTM)",2013,2013,Private,United States,United States,,2014,,
Inactive,Case,Digital Custody,Hardware Cryptoasset Wallet,2015,2015,Private,United States,United States,,2017,,
Active,Carta,Enterprise Tech Provisioning,"Digital Accounting, Financial Management & Business Intelligence",2012,2012,Private,United States,United States,501-1000,,,
Active,Carepay,"Digital Payments, Digital Savings, InsurTech, Enterprise Tech Provisioning","Money Transfer (P2P / P2B / B2P / B2B), Digital Micro Saving Solutions, Claims & Risk Management Solutions, Technical Service Provider (TSP), Digital Accounting, Electronic Invoicing",,2015,Private,Kenya,Netherlands,,,,
Active,Cardlay,"WealthTech, Enterprise Tech Provisioning","Digital Wealth Management, AI / ML / NLP, API Management",2016,2016,Private,Denmark,Denmark,11-50,,,
Active,Cardabel,"Enterprise Tech Provisioning, RegTech, Digital Identity","AI / ML / NLP, Dynamic Compliance, Market Monitoring, Fraud Prevention & Risk Management",2009,2015,Private,France,France,1-10,,,
Inactive,Card for Coin,Digital Payments,Consumer Spending,2014,2014,Private,United States,United States,29,2019,,
Active,CarbonX,Enterprise Tech Provisioning,Enterprise Blockchain,2017,2017,Private,Canada,Canada,1-10,,,
Active,CarbonChain,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Education and Training",2017,2019,Private,United Kingdom,United Kingdom,1-10,,,
Active,Carbon Collective,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning, Education and Training",2020,2020,Private,United States,United States,1-10,,,
Active,Carbon ,"Digital Lending, WealthTech, Digital Payments, Enterprise Tech Provisioning, Digital Identity","Balance Sheet Consumer Lending, Customer Cash-Advance, Balance Sheet Business Lending, Personal Financial Management / Planning, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Acquiring Services Providers for Merchants, API Management, KYC Solutions",2018,2016,Private,United Kingdom,United Kingdom,51-200,,,
Active,Capzest,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Consumer Lending, P2P / Marketplace Business Lending, Financial Management & Business Intelligence",2015,2015,Private,India,India,11-50,,,
Active,Captable.io,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,Brazil,United States,6,,,
Active,CapSphere,"Digital Lending, Digital Capital Raising","P2P / Marketplace Business Lending, Equity-Based Crowdfunding",2016,2020,Private,Malaysia,Malaysia,1-10,,,
Active,Capnovum,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, Market Monitoring, Risk Analytics, AI / ML / NLP, Regulatory",2014,2016,Private,United Kingdom,United Kingdom,1-10,,,
Active,Capitual,"Digital Custody, Digital Payments, WealthTech","eMoney Wallet, Hosted Cryptoasset Wallet, Payment processor, Points of Access (Cryptoasset), Money Transfer (Cryptoasset), Payment Gateways, Digital Wealth Management, Personal Financial Management / Planning",2018,2018,Private,Estonia,Estonia,11-50,,,
Active,Capitolis,Digital Capital Raising,Capital Raising Institutional Brokerage,2016,2018,Private,United States,United States,51-200,,,
Active,CapitalVia Global Research Limited,"Cryptoasset Exchange, WealthTech","Advanced Trading Services, Robo-Advisors, Investment advisory, Market data",2005,2005,Private,India,India,,,,
Active,CapitalTech,Digital Lending,Invoice Trading,,2010,Private,Mexico,Mexico,51-200,,,
Active,CapitalStackers,Digital Lending,P2P / Marketplace Property Lending,2014,2014,Private,United Kingdom,United Kingdom,6,,,
Active,CapitalSage,"Digital Payments, Digital Banks","Points of Access (PoS / mPoS / Online PoS), API Hubs for Payments, Agent Banking (Cash-In / Cash-Out)",2018,2020,Private,Nigeria,Nigeria,201-500,,,
Active,CapitalRise,Digital Capital Raising,Real Estate Crowdfunding,2015,2016,Private,United Kingdom,United Kingdom,11-50,,,
Active,Capitalia,"Digital Lending, Enterprise Tech Provisioning, WealthTech","Balance Sheet Business Lending, Invoice Trading, Balance Sheet Property Lending, Financial Management & Business Intelligence, Digital Wealth Management",2007,2007,Private,Latvia,Latvia,11-50,,,
Active,CapitalFront,Digital Lending,Balance Sheet Business Lending,2015,2015,Private,United States,United States,30,,,
Active,Capital.Com,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading, Balance Sheet Business Lending",2016,2016,Private,Mexico,United Kingdom,176,,,
Active,Capital Springboard,Digital Lending,Invoice Trading,2016,2016,Private,Singapore,Singapore,,,,
Active,Capital on Tap,"Digital Lending, Digital Payments","Balance Sheet Business Lending, eMoney Issuers",2012,2012,Private,United Kingdom,United Kingdom,51-200,,,
Active,Capital Match,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2014,2014,Private,Singapore,Singapore,6,,,
Active,Capital Funding Lab,Digital Capital Raising,Equity-Based Crowdfunding,2016,2016,Private,Mexico,Mexico,1-10,,,
Active,Capital Circle,Digital Capital Raising,Equity-Based Crowdfunding,2015,2015,Private,Netherlands,Netherlands,30,,,
Active,Capital Cell,Digital Capital Raising,Equity-Based Crowdfunding,2014,2015,Private,Spain,Spain,30,,,
Active,CapFront Technologies,"RegTech, Enterprise Tech Provisioning","Risk Analytics, AI / ML / NLP, Marketing services",2018,2018,Private,India,India,51-200,,,
Active,Capchase,"Digital Lending, Enterprise Tech Provisioning","Balance Sheet Business Lending, Merchant Cash-Advance, Financial Management & Business Intelligence",2020,2020,Private,United States,United States,51-200,,,
Active,CapBay,"Digital Lending, Alternative Credit Analytics","P2P / Marketplace Business Lending, Balance Sheet Business Lending, Invoice Trading, Credit Scoring",2016,2016,Private,Malaysia,Malaysia,51-200,,,
Active,Canopy ,WealthTech,Digital Wealth Management,2014,2017,Private,Singapore,Singapore,11-50,,,
Active,Canoe,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting",2017,2017,Private,United States,United States,11-50,,,
Active,Canaan,Consensus Services,"Cloud Mining, Remote Hosting Services, Hardware Manufacturing",2012,2013,Public,Cayman Islands,China,,,,
Active,CAMPFIRE,Digital Capital Raising,Reward-Based Crowdfunding,2011,2011,Private,Japan,Japan,76,,,
Inactive,CampBX,Cryptoasset Exchange,Order-Book,2011,2011,Private,United States,United States,,2017,,
Active,Camino Financial,"Digital Lending, Enterprise Tech Provisioning","P2P / Marketplace Business Lending, Balance Sheet Business Lending, Financial Management & Business Intelligence, Business consulting",2015,2014,Private,United States,United States,51-200,,,
Active,Cambridge Mobile Telematics,"InsurTech, Enterprise Tech Provisioning","IoT (including Telematics), Cloud Computing, AI / ML / NLP",2013,2012,Private,United States,United States,201-500,,,
Active,CambioX,WealthTech,"Financial Comparison Sites, Market data",,2018,Private,Peru,Peru,1-10,,,
Active,Cajero Bitcoin,"Cryptoasset Exchange, Digital Custody","Bitcoin Teller Machines (BTM), Retail Brokerage Services, Hardware Cryptoasset Wallet",,2017,Private,Mexico,Mexico,,,,
Active,CAIS ,"Enterprise Tech Provisioning, RegTech","Financial Management & Business Intelligence, Profiling & Due Diligence, Regulatory Reporting",2009,2009,Private,United States,United States,51-200,,,
Active,CAIFU500.com,Digital Lending,"P2P / Marketplace Consumer Lending, P2P / Marketplace Property Lending, Invoice Trading",2014,2014,Private,China,China,30,,,
Active,Caxe Technologies ,"Enterprise Tech Provisioning, Alternative Credit Analytics, Digital Banks, Digital Identity, RegTech","Financial Management & Business Intelligence, Credit Scoring, Banking-as-a-Service (BaaS), Fraud Prevention & Risk Management, Regulatory Reporting, Risk Analytics",2014,2006,Private,Singapore,Singapore,51-200,,,
